variable,new,set.CP.significant.residuals,TransPacific,set.Other.significant.residuals,Other
autotyp.agreement$POLYAGR.STRICT,POLYAGR.STRICT,-without;+POLYAGR,-absent;+present,+without;-POLYAGR,+absent;-present
autotyp.alienability$INAL.CLASS,INAL.CLASS,,,+absent,+absent
autotyp.alienability$No.ALIEN.CLASS.BINNED,Nr.ALIEN.CLASS.BINNED,,,+none,+none
autotyp.alienability$No.INAL.CLASS,Nr.INALIEN.CLASS,,,,
autotyp.alienability$No.INAL.CLASS.BINNED,Nr.INAL.CLASS.BINNED,,,+none,+none
autotyp.alienability$POSS.CLASS,Nr.POSS.CLASS,,,-1,-1
autotyp.alienability$POSS.CLASS.AGGR,POSS.CLASS.AGGR,,,-poss_classes;+no_poss_classes,-present;+absent
autotyp.alienability$posscl_all,POSS.CLASS.ALL,,,,
autotyp.alignment.per.language$case.wals.alignmentN,CASE.ALIGN.WALS.STYLE.N,,,,
autotyp.alignment.per.language$case.wals.alignmentP,CASE.ALIGN.WALS.STYLE.PRO,,,,
autotyp.basic.mr.locus.per.language$BasicLocus.P,LOCUS.P.BROAD,,,-H,-H
autotyp.basic.mr.locus.per.language$BasicLocus.POSS,LOCUS.POSS.BROAD,+H,+H,-H,-H
autotyp.basic.mr.locus.per.language$SimpleLocus.A,SIMPLE.LOCUS.A.BROAD,,,,
autotyp.basic.mr.locus.per.language$SimpleLocus.P,SIMPLE.LOCUS.P.BROAD,,,-H,-H
autotyp.basic.mr.locus.per.language$SimpleLocus.POSS,SIMPLE.LOCUS.S.BROAD,,,+D;-H,+D;-H
autotyp.basic.sr.locus.per.language$BasicLocus.U,LOCUS.P.NARROW,,,,
autotyp.basic.sr.locus.per.language$SimpleLocus.A,SIMPLE.LOCUS.A.NARROW,,,,
autotyp.basic.sr.locus.per.language$SimpleLocus.U,SIMPLE.LOCUS.P.NARROW,,,-H,-H
autotyp.locus.per.language$LocAorPhm,LocAorPhm,,,+no hm,+absent
autotyp.locus.per.language$LocPhm,LocPhm,,,+no hm;-hm,+absent;-present
autotyp.locus.per.language$LocPOSSdm,LocPOSSdm,,,+dm;-no dm,+present;-absent
