original,new,variant_of
autotyp.agreement$case.agr.balance,CASE.AGR.BALANCE,
autotyp.agreement$POLYAGR.LOOSE,POLYAGR.LOOSE,
autotyp.agreement$POLYAGR.STRICT,POLYAGR.STRICT,
autotyp.alienability$boundn,BOUND.N,
autotyp.alienability$Covert_classes_BoundCat,COVERT.POSS.CLASS,
autotyp.alienability$INAL.CLASS,INAL.CLASS,INAL.CLASSES
autotyp.alienability$multpossclass,MULTIPLE.POSS.CLASS,
autotyp.alienability$No._alienable_classes,Nr.ALIEN.CLASS,AL.CLASSES
autotyp.alienability$No.ALIEN.CLASS.BINNED,Nr.ALIEN.CLASS.BINNED,AL.CLASSES
autotyp.alienability$No.INAL.CLASS,Nr.INALIEN.CLASS,
autotyp.alienability$No.INAL.CLASS.BINNED,Nr.INAL.CLASS.BINNED,INAL.CLASSES
autotyp.alienability$Overt_Classes_numberCat,OVERT.POSS.CLASS,
autotyp.alienability$POSS.CLASS,Nr.POSS.CLASS,POSS.CLASSES
autotyp.alienability$POSS.CLASS.AGGR,POSS.CLASS.AGGR,POSS.CLASSES
autotyp.alienability$posscl_all,POSS.CLASS.ALL,POSS.CLASSES
autotyp.alignment_for_agreement$A.marked,AGR.SYNTAX.MARKED.A,
autotyp.alignment_for_agreement$Alignment2,AGR.SYNTAX.ALIGN.OBJ,
autotyp.alignment_for_agreement$G.marked,AGR.SYNTAX.MARKED.G,
autotyp.alignment_for_agreement$O.marked,AGR.SYNTAX.MARKED.P,
autotyp.alignment_for_agreement$T.marked,AGR.SYNTAX.MARKED.T,
autotyp.alignment_for_case$A.marked,CASE.ALIGN.MARKED.A,
autotyp.alignment_for_case$Alignment.obj,CASE.ALIGN.OBJ,
autotyp.alignment_for_case$Alignment2,CASE.ALIGN,
autotyp.alignment_for_case$G.marked,CASE.ALIGN.MARKED.G,
autotyp.alignment_for_case$O.marked,CASE.ALIGN.MARKED.P,
autotyp.alignment_for_case$T.marked,CASE.ALIGN.MARKED.T,
autotyp.alignment.per.language$agr.syn.acc.degree.Cat,AGR.ACC.DEG.BINNED,AGR.ACC.DEGREE
autotyp.alignment.per.language$agr.syn.accusativity.degree,AGR.ACC.DEGREE,AGR.ACC.DEGREE
autotyp.alignment.per.language$agr.syn.dominant.alignment2,AGR.ALIGN.DOMINANT.OBJ,
autotyp.alignment.per.language$agr.syn.erg.degree.Cat,AGR.ERG.DEG.BINNED,AGR.ERG.DEGREE
autotyp.alignment.per.language$agr.syn.ergativity.degree,AGR.ERG.DEGREE,AGR.ERG.DEGREE
autotyp.alignment.per.language$case.acc.degree.Cat,CASE.ACC.DEG.BINNED,
autotyp.alignment.per.language$case.dominant.alignment.obj,CASE.ALIGN.DOMINANT.OBJ,
autotyp.alignment.per.language$case.dominant.alignment2,CASE.ALIGN.DOMINANT,
autotyp.alignment.per.language$case.erg.degree.Cat,CASE.ERG.DEG.BINNED,
autotyp.alignment.per.language$case.wals.alignmentN,CASE.ALIGN.WALS.STYLE.N,
autotyp.alignment.per.language$case.wals.alignmentP,CASE.ALIGN.WALS.STYLE.P,
autotyp.alignment.per.language$split_cat_CASE,,
autotyp.alignment.per.language$split_PoS_AGR,,
autotyp.alignment.per.language$split_PoS_CASE,,
autotyp.alignment.per.language$split_PredClass_AGR,,
autotyp.alignment.per.language$split_PredClass_CASE,,
autotyp.alignment.per.language$split_ranking_AGR,split_clause.type_AGR,
autotyp.alignment.per.language$split_ranking_CASE,split_clause.type_CASE,
autotyp.alignment.per.language$split_TAM_AGR,,
autotyp.alignment.per.language$split_TAM_CASE,,
autotyp.alignments.case.simple$ACC,CASE.ACC,
autotyp.alignments.case.simple$PoS.split,CASE.ALIGN.POS.SPLIT,
autotyp.alignments.case.splits.stacked$case.split_on_PoS,CASE.POS.SPLIT,
autotyp.alignments.case.splits$A.marked.split,CASE.MARKED.A.SPLIT,
autotyp.alignments.case.splits$O.marked.split,CASE.MARKED.P.SPLIT,
autotyp.basic.mr.locus.per.language$BasicLocus.A,LOCUS.A.BROAD,LOCUS.A
autotyp.basic.mr.locus.per.language$BasicLocus.P,LOCUS.P.BROAD,LOCUS.P
autotyp.basic.mr.locus.per.language$BasicLocus.POSS,LOCUS.POSS.BROAD,LOCUS.POSS
autotyp.basic.mr.locus.per.language$BasicLocus.S,LOCUS.S.BROAD,LOCUS.S
autotyp.basic.mr.locus.per.language$SimpleLocus.A,SIMPLE.LOCUS.A.BROAD,LOCUS.A
autotyp.basic.mr.locus.per.language$SimpleLocus.P,SIMPLE.LOCUS.P.BROAD,LOCUS.P
autotyp.basic.mr.locus.per.language$SimpleLocus.POSS,SIMPLE.LOCUS.S.BROAD,LOCUS.S
autotyp.basic.mr.locus.per.language$SimpleLocus.S,SIMPLE.LOCUS.S.BROAD,LOCUS.S
autotyp.basic.sr.locus.per.language$BasicLocus.A,LOCUS.A.NARROW,LOCUS.A
autotyp.basic.sr.locus.per.language$BasicLocus.U,LOCUS.P.NARROW,LOCUS.P
autotyp.basic.sr.locus.per.language$SimpleLocus.A,SIMPLE.LOCUS.A.NARROW,LOCUS.A
autotyp.basic.sr.locus.per.language$SimpleLocus.U,SIMPLE.LOCUS.P.NARROW,LOCUS.P
autotyp.clause_word_order$aov_noun_primary_ao,ARG.ORDER.N.PRIMARY,
autotyp.clause_word_order$aov_noun_primary_av,V.A.ORDER.N.PRIMARY,
autotyp.clause_word_order$aov_noun_primary_cwo_prim,CL.ORDER.N.PRIMARY,
autotyp.clause_word_order$aov_noun_primary_final,VFINAL.N.PRIMARY,
autotyp.clause_word_order$aov_noun_primary_finalfree,VFINAL.OR.FREE.N.PRIM,
autotyp.clause_word_order$aov_noun_primary_initial,VINITIAL.N.PRIMARY,
autotyp.clause_word_order$aov_noun_primary_medial,VMEDIAL.N.PRIMARY,
autotyp.clause_word_order$aov_noun_primary_ov,V.O.ORDER.N.PRIMARY,
autotyp.clause_word_order$finalfree,FINAL.OR.FREE.ORDER.ANY,
autotyp.clause_word_order$flexible,FLEXIBLE.ORDER.ANY,
autotyp.clause_word_order$initial,INITIAL.ORDER.ANY,
autotyp.clause_word_order$medial,MEDIAL.ORDER.ANY,
autotyp.excl_incl$ex_as_person,,
autotyp.excl_incl$ie_distinction,INCL.EXCL.DISTINCTION,
autotyp.excl_incl$ie_type,,
autotyp.excl_incl$min_aug_distinction,,
autotyp.gender$agr_gender_yesno_words,,
autotyp.gramm_markers$Beh_behavior2,,
autotyp.gramm_markers$Beh_BehaviorType,,
autotyp.gramm_markers$case_number,,
autotyp.gramm_markers$case_ref,,
autotyp.gramm_markers$exp_binary,,
autotyp.gramm_markers$exp_sum,,
autotyp.gramm_markers$flex2,,
autotyp.gramm_markers$FmtvFlexivity,,
autotyp.gramm_markers$Fus_fusion3,,
autotyp.gramm_markers$Fus_isolbin,,
autotyp.gramm_markers$Fus_nonlinearbin,,
autotyp.gramm_markers$Fus_redupl_binary,,
autotyp.gramm_markers$Fus_tonal,,
autotyp.gramm_markers$lexflex2,,
autotyp.gramm_markers$Loc_BasicLocus,,
autotyp.gramm_markers$Loc_BasicLocus2,,
autotyp.gramm_markers$Loc_Locus,,
autotyp.gramm_markers$Loc_SimpleLocus,,
autotyp.gramm_markers$mrestrict_bin,,
autotyp.gramm_markers$MTy_MorphemeType,,
autotyp.gramm_markers$Pos_PoExst,,
autotyp.gramm_markers$Pos_posit3,,
autotyp.gramm_markers$Pos_position_basic,,
autotyp.gramm_markers$Pos_PrExist,,
autotyp.gramm_markers$Pos_PrExstStrict,,
autotyp.gramm_markers$Pos_SmExst,,
autotyp.gramm_markers$Pos_SmExstStrict,,
autotyp.gramm_markers$Rest_RestrValue,,
autotyp.gramm_markers$Sou_morph_source,,
autotyp.gramm_markers$StFlexivity,,
autotyp.locus.per.language$LocAandPdm,,
autotyp.locus.per.language$LocAandPhm,,
autotyp.locus.per.language$LocAdm,,LOCUS.A
autotyp.locus.per.language$LocAhm,,LOCUS.A
autotyp.locus.per.language$LocAorPdm,,
autotyp.locus.per.language$LocAorPhm,,
autotyp.locus.per.language$LocARGdm,,
autotyp.locus.per.language$LocPdm,,LOCUS.P
autotyp.locus.per.language$LocPhm,,LOCUS.P
autotyp.locus.per.language$LocPOSSdm,,LOCUS.POSS
autotyp.locus.per.language$LocPOSShm,,LOCUS.POSS
autotyp.locus.per.language$LocSandAdm,,
autotyp.locus.per.language$LocSandAhm,,
autotyp.locus.per.language$LocSdm,,LOCUS.S
autotyp.locus.per.language$LocShm,,LOCUS.S
autotyp.locus.per.language$LOCUS.ARG,,
autotyp.markers.per.language$A.basic,LOCUS.A.AGGR,
autotyp.markers.per.language$exp_sum.Noun.Plural,,
autotyp.markers.per.language$POSS.basic,LOCUS.POSS.AGGR,LOCUS.POSS
autotyp.markers.per.language$S.basic,LOCUS.S.AGGR,LOCUS.S
autotyp.markers.per.language$U.basic,LOCUS.P.AGGR,LOCUS.P
autotyp.merge$AOdiff_n_merged,,
autotyp.merge$AOdiff_p_merged,,
autotyp.merge$AOorder_merged,A.P.ORDER.AGGR,
autotyp.merge$case_pf_merged,,
autotyp.merge$case_position_merged,,
autotyp.merge$case_tonal_merged,,
autotyp.merge$case.acc_n_merged,,
autotyp.merge$CASE.ALIGN.N,CASE.ALIGN.PER.LANG.N,
autotyp.merge$CASE.ALIGN.P,CASE.ALIGN.PER.LANG.P,
autotyp.merge$final_merged,,
autotyp.merge$s_align_p_merged,S.ALIGN.PRO.AGGR,
autotyp.morphology.per.language$ANY.AGREEMENT,ANY.V.AGR,
autotyp.morphology.per.language$any.flexivity,,
autotyp.morphology.per.language$any.lex.flexivity,,
autotyp.morphology.per.language$any.polyexponence,,
autotyp.morphology.per.language$boundn,,
autotyp.morphology.per.language$Covert_classes_BoundCat,COVERT.POSS.CL.PER.LANG,
autotyp.morphology.per.language$flexivity.in.arguments,,
autotyp.morphology.per.language$flexivity.in.predicate,,
autotyp.morphology.per.language$lex.flexivity.in.arguments,,
autotyp.morphology.per.language$lex.flexivity.in.predicate,,
autotyp.morphology.per.language$multpossclass,MULTIPLE.POSS.CL.PER.LANG,
autotyp.morphology.per.language$N.PLURAL,,
autotyp.morphology.per.language$Overt_Classes_numberCat,OVERT.POSS.CL.PER.LANG,
autotyp.morphology.per.language$polyexponence.in.arguments,,
autotyp.morphology.per.language$polyexponence.in.predicate,,
autotyp.morphology.per.language$POSS.CLASS,POSS.CL.PER.LANG,
autotyp.morphology.per.language$POSS.CLASS.AGGR,POSS.CL.AGGR.PER.LANG,
autotyp.morphology.per.language$posscl_all,POSS.CL.ANY.PER.LANG,
autotyp.np_structure$Alien_classMacrocat_sem_class,AL.CLASS.SEM.TYPE,
autotyp.np_structure$Alien_classSemanticClass,AL.CLASS.SEM,
autotyp.np_structure$Construct_Def,,
autotyp.np_structure$extension,,
autotyp.np_structure$Govern_Def,,
autotyp.np_structure$marking_Def,,
autotyp.np_structure$PrPoS1_clausal.domain,,
autotyp.np_structure$PrPoS1_Macrocat_sem,,
autotyp.np_structure$PrPoS1_phrasal,,
autotyp.np_structure$PrPoS1_simplehost,,
autotyp.np_structure$semantic_restriction,,
autotyp.np_structure$WordOrderType,,
autotyp.np.per.language$Adj_Govern_Def_construct.markers,,
